#!events.txt
# This is a text DVS created by v2e (see https://github.com/SensorsINI/v2e)
# Format is time (float s), x, y, polarity (0=off, 1=on) as specified at http://rpg.ifi.uzh.ch/davis_data.html
# Creation time: 04:36PM December 15 2020
# Creation time: System.currentTimeMillis() 1608046581602
# User name: tobi
0.0005000795936211944 273 130 1
0.0005000795936211944 272 132 1
0.0005000795936211944 272 130 1
0.0005000795936211944 274 132 1
0.0005000795936211944 274 130 1
0.0005000795936211944 274 131 1
0.0005000795936211944 272 131 1
0.0005000795936211944 273 132 1
0.0010001591872423887 273 131 1
0.0020003183744847775 274 133 1
0.0020003183744847775 273 131 1
0.0020003183744847775 273 133 1
0.0020003183744847775 272 133 1
0.0020003183744847775 273 132 1
0.003000477561727166 274 134 1
0.003000477561727166 272 134 1
0.003000477561727166 273 133 1
0.003000477561727166 273 134 1
0.004000636748969555 273 134 1
0.004000636748969555 274 130 0
0.004000636748969555 274 135 1
0.004000636748969555 272 135 1
0.004000636748969555 272 130 0
0.004000636748969555 273 130 0
0.004000636748969555 273 135 1
0.004000636748969555 273 132 0
0.0050007957033813 273 131 0
0.0050007957033813 273 136 1
0.0050007957033813 273 133 0
0.0050007957033813 274 131 0
0.0050007957033813 273 135 1
0.0050007957033813 272 131 0
0.0050007957033813 274 136 1
0.0050007957033813 272 136 1
0.006000955123454332 272 137 1
0.006000955123454332 273 134 0
0.006000955123454332 274 132 0
0.006000955123454332 273 137 1
0.006000955123454332 273 132 0
0.006000955123454332 273 136 1
0.006000955123454332 274 137 1
0.006000955123454332 272 132 0
0.007001114077866077 273 137 1
0.007001114077866077 272 133 0
0.007001114077866077 274 138 1
0.007001114077866077 273 135 0
0.007001114077866077 271 137 1
0.007001114077866077 274 133 0
0.007001114077866077 273 133 0
0.007001114077866077 273 138 1
0.007001114077866077 272 138 1
0.00800127349793911 273 139 1
0.00800127349793911 273 136 0
0.00800127349793911 273 134 0
0.00800127349793911 274 139 1
0.00800127349793911 272 139 1
0.00800127349793911 271 138 1
0.00800127349793911 272 134 0
0.00800127349793911 274 134 0
0.009001431986689568 273 140 1
0.009001431986689568 274 140 1
0.009001431986689568 272 135 0
0.009001431986689568 273 137 0
0.009001431986689568 271 139 1
0.009001431986689568 274 135 0
